#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 06 08 02 10 225  3.7  4.5  0.72  7.69  5.50 178 1007.2  17.6  16.4  15.6 99.0 99.00 
2023 06 08 02 20 223  3.7  4.6 99.00 99.00 99.00 999 1007.2  17.6  16.4  15.6 99.0 99.00 
2023 06 08 02 30 222  3.6  4.3 99.00 99.00 99.00 999 1007.2  17.5  16.5  15.8 99.0 99.00 
2023 06 08 02 40 240  3.3  4.3  0.75  8.33  5.91 172 1007.2  17.6  16.6  15.9 99.0 99.00 
2023 06 08 02 50 249  2.7  3.6 99.00 99.00 99.00 999 1007.2  17.7  16.7  16.2 99.0 99.00 
2023 06 08 03 00 242  2.8  3.8 99.00 99.00 99.00 999 1007.1  17.8  16.5  16.5 99.0 99.00 
2023 06 08 03 10 235  2.8  3.4 99.00 99.00 99.00 999 1007.1  17.8  16.7  16.7 99.0 99.00 
2023 06 08 03 20 234  2.9  3.7 99.00 99.00 99.00 999 1007.2  17.8  16.7  16.8 99.0 99.00 
2023 06 08 03 30 240  3.3  4.0 99.00 99.00 99.00 999 1007.2  17.9  16.8  16.8 99.0 99.00 
2023 06 08 03 40 244  3.4  4.7  0.76  7.69  6.09 166 1007.0  17.9  16.9  16.7 99.0 99.00 
2023 06 08 03 50 254  2.4  3.3  0.74  7.14  5.90 167 1007.0  18.0  17.1  16.8 99.0 99.00 
2023 06 08 04 00 271  1.3  1.8 99.00 99.00 99.00 999 1006.5  17.9  17.3  16.9 99.0 99.00 
2023 06 08 04 10 256  0.6  1.6  0.73  7.14  6.01 164 1006.5  17.9  17.4  16.9 99.0 99.00 
2023 06 08 04 20 213  1.5  2.0 99.00 99.00 99.00 999 1006.4  17.8  17.6  16.8 99.0 99.00 
2023 06 08 04 30 161  0.9  1.5 99.00 99.00 99.00 999 1006.1  17.9  17.4  16.9 99.0 99.00 
2023 06 08 04 40 171  1.3  1.9  0.68  8.33  5.85 140 1006.1  17.8  17.5  16.7 99.0 99.00 
2023 06 08 04 50 177  1.5  2.0 99.00 99.00 99.00 999 1005.9  17.9  17.8  16.9 99.0 99.00 
2023 06 08 05 00 184  2.4  3.5 99.00 99.00 99.00 999 1005.6  17.9  18.1  16.8 99.0 99.00 
2023 06 08 05 10 196  2.5  3.2  0.65  7.69  5.71 145 1005.7  18.0  18.2  16.9 99.0 99.00 
2023 06 08 05 20 180  3.4  5.4 99.00 99.00 99.00 999 1005.5  18.1  18.2  17.0 99.0 99.00 
2023 06 08 05 30 166  3.8  4.6 99.00 99.00 99.00 999 1005.1  18.0  18.3  17.0 99.0 99.00 
2023 06 08 05 40 169  3.2  4.5  0.69  7.14  5.79 137 1005.1  18.0  18.3  17.2 99.0 99.00 
2023 06 08 05 50 166  3.0  3.7 99.00 99.00 99.00 999 1004.9  18.1  18.3  17.3 99.0 99.00 
2023 06 08 06 00 180  2.8  3.8 99.00 99.00 99.00 999 1005.0  18.2  18.4  17.5 99.0 99.00 
2023 06 08 06 10 173  3.8  4.9  0.63  7.69  5.87 135 1004.7  18.3  18.4  17.6 99.0 99.00 
2023 06 08 06 20 178  3.7  4.6 99.00 99.00 99.00 999 1005.0  18.4  18.5  17.7 99.0 99.00 
2023 06 08 06 30 183  3.7  4.4 99.00 99.00 99.00 999 1004.9  18.4  18.5  17.6 99.0 99.00 
2023 06 08 06 40 176  3.3  4.3  0.65  7.14  6.12 141 1004.8  18.4  18.6  17.6 99.0 99.00 
2023 06 08 06 50 186  2.4  3.2 99.00 99.00 99.00 999 1004.8  18.4  18.6  17.6 99.0 99.00 
2023 06 08 07 00 194  2.2  2.8 99.00 99.00 99.00 999 1004.8  18.5  18.6  17.7 99.0 99.00 
2023 06 08 07 10 184  1.8  2.5  0.69  7.69  6.11 138 1004.6  18.5  18.6  17.5 99.0 99.00 
2023 06 08 07 20 174  1.7  2.4 99.00 99.00 99.00 999 1004.6  18.5  18.6  17.3 99.0 99.00 
2023 06 08 07 30 190  1.8  2.3 99.00 99.00 99.00 999 1004.6  18.5  18.6  16.7 99.0 99.00 
2023 06 08 07 40 195  2.1  2.7  0.69  7.69  6.23 146 1004.6  18.6  18.6  16.7 99.0 99.00 
2023 06 08 07 50 201  1.9  2.5 99.00 99.00 99.00 999 1004.6  18.6  18.6  16.7 99.0 99.00 
2023 06 08 08 00 201  1.6  2.4 99.00 99.00 99.00 999 1004.5  18.6  18.6  16.7 99.0 99.00 
2023 06 08 08 10 195  1.5  2.2  0.74  7.69  6.30 160 1004.6  18.6  18.6  16.8 99.0 99.00 
2023 06 08 08 20 182  1.7  2.3 99.00 99.00 99.00 999 1004.6  18.5  18.6  16.7 99.0 99.00 
2023 06 08 08 30 174  1.9  2.6 99.00 99.00 99.00 999 1004.7  18.4  18.6  16.6 99.0 99.00 
2023 06 08 08 40 176  2.1  2.8  0.73  7.69  6.07 151 1004.9  18.4  18.6  16.6 99.0 99.00 
2023 06 08 08 50 187  2.2  2.8 99.00 99.00 99.00 999 1005.0  18.4  18.6  16.5 99.0 99.00 
2023 06 08 09 00 196  2.1  2.7 99.00 99.00 99.00 999 1005.2  18.5  18.5  16.7 99.0 99.00 
2023 06 08 09 10 185  2.0  2.6  0.70  7.69  5.95 146 1005.5  18.4  18.5  16.8 99.0 99.00 
2023 06 08 09 20 192  1.8  2.4 99.00 99.00 99.00 999 1005.7  18.4  18.5  16.9 99.0 99.00 
2023 06 08 09 30 189  1.9  2.5 99.00 99.00 99.00 999 1005.7  18.4  18.5  16.9 99.0 99.00 
